   BENCHMARK INFORMATION
benchmark definition:    wit4java.xml
name:                    wit4java
run sets:                SV-COMP22_assert_java.ReachSafety-Java
date:                    Tue, 2022-06-14 20:06:05 BST
tool:                    wit4java 2.0
tool executable:         ./wit4java.py
options:
resource limits:
- memory:                8000.0 MB
- time:                  90 s
- cpu cores:             4
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             4
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    joss-Blade-Stealth
os:                      Linux-5.4.0-117-generic-x86_64-with-glibc2.29
cpu:                     Intel Core i7-7500U CPU @ 2.70GHz
- cores:                 4
- max frequency:         3500.0 MHz
- turbo boost enabled:   True
ram:                     16676.265983999998 MB
------------------------------------------------------------



SV-COMP22_assert_java.ReachSafety-Java
Run set 1 of 1 with options '--witness ~/sv-benchmarks/java/${rundefinition_name}/${taskdef_name}/witness.graphml' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
MinePump/spec1-5_product43.yml                                                          false                            6.03        3.17        None
MinePump/spec1-5_product44.yml                                                          false                            6.62        4.15        None
MinePump/spec1-5_product45.yml                                                          true                             6.35        3.42        None
MinePump/spec1-5_product46.yml                                                          true                             6.46        3.29        None
MinePump/spec1-5_product47.yml                                                          true                             6.16        3.04        None
MinePump/spec1-5_product48.yml                                                          true                             6.26        3.76        None
MinePump/spec1-5_product49.yml                                                          false                            6.02        3.61        None
MinePump/spec1-5_product5.yml                                                           false                            7.58        6.05        None
MinePump/spec1-5_product50.yml                                                          false                            7.76        6.27        None
MinePump/spec1-5_product51.yml                                                          false                            6.76        4.00        None
MinePump/spec1-5_product52.yml                                                          false                            7.46        5.18        None
MinePump/spec1-5_product53.yml                                                          false                            6.97        3.91        None
MinePump/spec1-5_product54.yml                                                          false                            7.22        4.15        None
MinePump/spec1-5_product55.yml                                                          false                            6.66        3.60        None
MinePump/spec1-5_product56.yml                                                          false                            6.81        3.58        None
MinePump/spec1-5_product6.yml                                                           false                            6.63        3.49        None
MinePump/spec1-5_product7.yml                                                           false                            6.82        3.71        None
MinePump/spec1-5_product8.yml                                                           false                            6.85        3.68        None
MinePump/spec1-5_product9.yml                                                           false                            7.21        3.73        None
algorithms/BellmanFord-FunSat02.yml                                                     false                            6.62        3.52        None
algorithms/BellmanFord-FunUnsat01.yml                                                   false                            6.76        3.52        None
algorithms/BellmanFord-FunUnsat02.yml                                                   false                            6.41        3.34        None
algorithms/BellmanFord-MemUnsat01.yml                                                   false                            6.84        3.60        None
algorithms/BellmanFord-MemUnsat02.yml                                                   false                            6.58        3.58        None
algorithms/BinaryTreeSearch-FunUnsat01.yml                                              false                            6.64        3.63        None
algorithms/BinaryTreeSearch-MemUnsat01.yml                                              unknown                          6.46        3.48        None
algorithms/BinaryTreeSearch-MemUnsat02.yml                                              false                            6.52        3.59        None
algorithms/InsertionSort-FunUnsat01.yml                                                 false                            6.57        3.38        None
algorithms/InsertionSort-MemUnsat01.yml                                                 false                            6.45        3.41        None
algorithms/MergeSortIterative-FunUnsat01.yml                                            false                            6.61        3.47        None
algorithms/MergeSortIterative-MemUnsat01.yml                                            false                            6.63        3.46        None
algorithms/RedBlackTree-FunUnsat01.yml                                                  false                            7.05        3.58        None
algorithms/RedBlackTree-MemUnsat01.yml                                                  false                            6.84        3.50        None
algorithms/SortedListInsert-FunUnsat01.yml                                              false                            6.38        3.44        None
algorithms/SortedListInsert-MemUnsat01.yml                                              unknown                          0.18        0.25        None
algorithms/Trie-FunUnsat01.yml                                                          false                            6.59        3.39        None
algorithms/Trie-MemUnsat01.yml                                                          unknown                          6.75        3.46        None
algorithms/Tsp-FunSat01.yml                                                             false                            6.83        3.62        None
algorithms/Tsp-FunUnsat01.yml                                                           false                            6.53        3.42        None
algorithms/Tsp-MemUnsat01.yml                                                           false                            6.67        3.56        None
juliet-java/CWE369_Divide_by_Zero__float_connect_tcp_divide_01_bad.yml                  unknown                          0.20        0.25        None
juliet-java/CWE369_Divide_by_Zero__float_connect_tcp_divide_01_bad_version2.yml         unknown                          0.16        0.20        None
juliet-java/CWE369_Divide_by_Zero__float_connect_tcp_divide_81a_bad.yml                 unknown                          0.19        0.23        None
juliet-java/CWE369_Divide_by_Zero__float_connect_tcp_divide_81a_bad_version2.yml        unknown                          0.16        0.20        None
