   BENCHMARK INFORMATION
benchmark definition:    wit4java3-gdart.xml
name:                    wit4java3-gdart
run sets:                SV-COMP22_assert_java.ReachSafety-Java
date:                    Tue, 2022-06-14 20:46:01 BST
tool:                    wit4java 2.0
Exception: 0
tool executable:         ./wit4java.py
options:
resource limits:
- memory:                8000.0 MB
- time:                  90 s
- cpu cores:             4
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             4
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    joss-Blade-Stealth
os:                      Linux-5.4.0-117-generic-x86_64-with-glibc2.29
cpu:                     Intel Core i7-7500U CPU @ 2.70GHz
- cores:                 4
- max frequency:         3500.0 MHz
- turbo boost enabled:   True
ram:                     16676.265983999998 MB
------------------------------------------------------------



SV-COMP22_assert_java.ReachSafety-Java
Run set 1 of 1 with options '--witness ~/gdart/${rundefinition_name}/${taskdef_name}/witness.graphml' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
securibench/Arrays3.yml                                                                 false                            3.12        1.76        None
securibench/Arrays4.yml                                                                 false                            3.06        2.12        None
securibench/Arrays6.yml                                                                 false                            3.17        1.79        None
securibench/Arrays7.yml                                                                 false                            3.07        1.69        None
securibench/Arrays8.yml                                                                 false                            3.04        1.75        None
securibench/Arrays9.yml                                                                 false                            2.91        1.64        None
securibench/Basic1.yml                                                                  false                            2.92        1.92        None
securibench/Basic10.yml                                                                 false                            3.14        1.70        None
securibench/Basic11.yml                                                                 unknown                          0.26        0.28        None
securibench/Basic12.yml                                                                 false                            3.21        2.04        None
securibench/Basic15.yml                                                                 unknown                          0.22        0.23        None
securibench/Basic16.yml                                                                 false                            2.96        1.62        None
securibench/Basic17.yml                                                                 false                            3.11        1.65        None
securibench/Basic18.yml                                                                 false                            3.15        1.74        None
securibench/Basic19.yml                                                                 unknown                          0.26        0.29        None
securibench/Basic2.yml                                                                  false                            3.01        1.68        None
securibench/Basic20.yml                                                                 unknown                          0.30        0.33        None
securibench/Basic21.yml                                                                 unknown                          0.22        0.24        None
securibench/Basic24.yml                                                                 false                            3.20        2.03        None
securibench/Basic25.yml                                                                 false                            3.11        1.72        None
securibench/Basic26.yml                                                                 false                            3.11        1.70        None
securibench/Basic27.yml                                                                 false                            3.27        2.09        None
securibench/Basic29.yml                                                                 false                            3.09        1.69        None
securibench/Basic3.yml                                                                  false                            3.10        1.71        None
securibench/Basic30.yml                                                                 false                            2.94        1.59        None
securibench/Basic31.yml                                                                 false                            3.01        1.70        None
securibench/Basic32.yml                                                                 false                            3.15        1.75        None
securibench/Basic33.yml                                                                 false                            2.98        1.65        None
securibench/Basic34.yml                                                                 false                            3.09        1.69        None
securibench/Basic35.yml                                                                 unknown                          0.28        0.31        None
securibench/Basic37.yml                                                                 unknown                          0.24        0.26        None
securibench/Basic38.yml                                                                 unknown                          0.23        0.26        None
securibench/Basic39.yml                                                                 unknown                          0.23        0.24        None
securibench/Basic4.yml                                                                  unknown                          2.97        1.64        None
securibench/Basic5.yml                                                                  false                            3.14        1.71        None
securibench/Basic7.yml                                                                  unknown                          0.28        0.35        None
securibench/Basic9.yml                                                                  false                            2.90        1.62        None
securibench/Collections1.yml                                                            false                            3.14        1.68        None
securibench/Collections10.yml                                                           false                            3.18        1.76        None
securibench/Collections12.yml                                                           false                            3.10        1.71        None
securibench/Collections13.yml                                                           false                            3.28        1.95        None
securibench/Collections14.yml                                                           false                            3.20        2.03        None
securibench/Collections2.yml                                                            false                            2.89        1.63        None
securibench/Collections3.yml                                                            false                            3.02        1.68        None
securibench/Collections4.yml                                                            false                            3.04        1.64        None
securibench/Collections5.yml                                                            false                            2.99        1.70        None
securibench/Collections6.yml                                                            false                            3.13        1.64        None
securibench/Collections7.yml                                                            false                            3.21        1.73        None
securibench/Datastructures1.yml                                                         false                            3.22        1.75        None
securibench/Datastructures2.yml                                                         false                            3.03        1.69        None
securibench/Datastructures3.yml                                                         false                            3.05        1.73        None
securibench/Datastructures5.yml                                                         false                            3.10        1.70        None
securibench/Datastructures6.yml                                                         false                            3.24        2.16        None
securibench/Factories1.yml                                                              false                            2.94        1.64        None
securibench/Factories2.yml                                                              false                            3.10        1.64        None
securibench/Factories3.yml                                                              false                            3.00        1.84        None
securibench/Inter1.yml                                                                  false                            3.00        1.69        None
securibench/Inter10.yml                                                                 unknown                          0.35        0.39        None
securibench/Inter11.yml                                                                 false                            3.31        2.14        None
securibench/Inter12.yml                                                                 false                            3.12        1.82        None
securibench/Inter13.yml                                                                 false                            3.22        2.07        None
securibench/Inter14.yml                                                                 false                            3.06        1.72        None
securibench/Inter2.yml                                                                  false                            3.18        1.71        None
securibench/Inter3.yml                                                                  unknown                          0.24        0.26        None
securibench/Inter4.yml                                                                  false                            2.93        1.62        None
securibench/Inter5.yml                                                                  false                            2.96        1.65        None
securibench/Inter6.yml                                                                  false                            3.06        1.63        None
